iter	Passed	Remaining
0	147	147676
1	149	74543
2	150	50093
3	152	38046
4	154	30800
5	156	25855
6	157	22311
7	158	19616
8	159	17530
9	160	15863
10	161	14488
11	161	13335
12	162	12350
13	163	11504
14	163	10766
15	164	10121
16	165	9560
17	166	9066
18	167	8637
19	168	8241
20	169	7879
21	169	7549
22	170	7249
23	171	6970
24	172	6715
25	173	6501
26	174	6287
27	175	6078
28	175	5882
29	176	5701
30	177	5535
31	177	5380
32	178	5238
33	179	5110
34	180	4977
35	181	4851
36	181	4732
37	182	4621
38	183	4514
39	183	4415
40	184	4320
41	185	4231
42	186	4143
43	186	4058
44	187	3977
45	188	3899
46	188	3825
47	189	3753
48	189	3686
49	190	3625
50	191	3565
51	192	3504
52	192	3445
53	193	3387
54	193	3332
55	194	3279
56	195	3227
57	195	3179
58	196	3133
59	197	3091
60	197	3046
61	198	3002
62	199	2960
63	199	2918
64	200	2878
65	200	2839
66	201	2802
67	201	2767
68	203	2739
69	203	2707
70	204	2674
71	205	2643
72	205	2612
73	206	2581
74	206	2552
75	207	2524
76	208	2496
77	208	2468
78	209	2442
79	210	2417
80	210	2392
81	211	2367
82	211	2339
83	212	2316
84	212	2292
85	213	2269
86	214	2248
87	215	2228
88	215	2207
89	216	2186
90	216	2165
91	217	2146
92	218	2126
93	218	2108
94	219	2090
95	220	2072
96	220	2055
97	221	2040
98	222	2022
99	222	2005
100	223	1988
101	224	1972
102	224	1956
103	225	1941
104	225	1925
105	226	1911
106	227	1900
107	228	1886
108	229	1872
109	229	1858
110	230	1844
111	230	1830
112	231	1816
113	232	1804
114	232	1792
115	233	1782
116	234	1769
117	235	1757
118	235	1746
119	236	1733
120	237	1721
121	237	1709
122	238	1697
123	238	1688
124	239	1678
125	240	1667
126	240	1655
127	241	1644
128	241	1633
129	242	1623
130	243	1612
131	243	1602
132	244	1592
133	245	1583
134	245	1575
135	246	1565
136	247	1556
137	247	1546
138	248	1536
139	248	1527
140	249	1518
141	249	1508
142	250	1499
143	250	1491
144	251	1484
145	252	1476
146	253	1468
147	253	1460
148	254	1452
149	254	1444
150	255	1436
151	256	1429
152	256	1421
153	257	1414
154	258	1407
155	258	1400
156	259	1393
157	260	1385
158	260	1378
159	261	1372
160	261	1363
161	262	1356
162	263	1350
163	263	1344
164	264	1338
165	265	1332
166	265	1325
167	266	1318
168	266	1312
169	267	1306
170	268	1300
171	268	1294
172	269	1289
173	270	1284
174	271	1278
175	271	1273
176	272	1267
177	273	1261
178	273	1255
179	274	1249
180	274	1243
181	275	1238
182	276	1233
183	277	1229
184	277	1223
185	278	1217
186	278	1212
187	279	1207
188	280	1201
189	280	1196
190	281	1192
191	282	1187
192	282	1183
193	283	1177
194	284	1172
195	284	1167
196	285	1162
197	285	1157
198	286	1152
199	286	1147
200	288	1144
201	288	1140
202	289	1136
203	290	1131
204	290	1126
205	291	1122
206	291	1117
207	292	1113
208	292	1108
209	293	1104
210	294	1100
211	294	1096
212	295	1091
213	296	1087
214	296	1082
215	297	1078
216	297	1074
217	298	1070
218	298	1065
219	299	1061
220	300	1058
221	300	1054
222	301	1050
223	302	1046
224	302	1042
225	303	1038
226	303	1034
227	304	1031
228	305	1027
229	305	1023
230	306	1019
231	307	1016
232	307	1012
233	308	1009
234	308	1005
235	309	1002
236	310	998
237	310	994
238	311	991
239	312	988
240	312	985
241	313	982
242	314	978
243	314	974
244	315	971
245	315	967
246	316	964
247	316	960
248	317	957
249	318	954
250	318	951
251	319	948
252	320	945
253	320	942
254	321	939
255	322	935
256	322	932
257	323	929
258	323	926
259	324	923
260	325	921
261	325	918
262	326	915
263	327	912
264	327	909
265	328	906
266	329	903
267	329	900
268	330	897
269	331	895
270	331	892
271	332	889
